artist,genre
Ted Nugent,hard rock
Damn Yankees (band),hard rock arena rock
Ramones,punk rock pop punk
Styx (band),progressive rock art rock hard rock arena rock pop rock
Pearl Jam,grunge
Pearl Jam,alternative rock
Pearl Jam,hard rock
Skid Row (American band),heavy metal hard rock glam metal
Pantera,groove metal thrash metal
Anthrax (American band),thrash metal groove metal
Frank Zappa,rock
Frank Zappa,progressive rock
Frank Zappa,blues
Frank Zappa,experimental
Frank Zappa,jazz
Frank Zappa,fusion
Frank Zappa,classical
Frank Zappa,pop
Frank Zappa,avant garde
Frank Zappa,doo wop
Frank Zappa,comedy
Frank Zappa,electronic
Frank Zappa,musique concrète
Stone Temple Pilots,alternative rock grunge alternative metal psychedelic rock
Nickelback,post grunge hard rock alternative metal pop rock
Mitch Ryder,rock and roll
Mitch Ryder,rhythm and blues
Mitch Ryder,blue eyed soul
Mitch Ryder,frat rock
Mitch Ryder,hard rock
Foreigner (band),hard rock
Foreigner (band),soft rock
Foreigner (band),arena rock
Bo Diddley,rock and roll
Bo Diddley,blues
Bo Diddley,psychedelic funk
Meat Loaf,rock hard rock
Kid Rock,rock hip hop country
Little Richard,rock and roll
Little Richard,rhythm and blues
Little Richard,gospel
Little Richard,soul
Motörhead,heavy metal hard rock speed metal
Paul McCartney,rock pop classical electronic
Jimi Hendrix,rock
Jimi Hendrix,psychedelia
Jimi Hendrix,blues
Jimi Hendrix,r and b
Chuck Berry,rock and roll rhythm and blues
Aerosmith,hard rock blues rock heavy metal
Harry Nilsson,rock pop
Ratt,glam metal heavy metal hard rock
Metallica,heavy metal thrash metal hard rock
Van Halen,hard rock heavy metal pop rock arena rock glam metal
Heart (band),rock hard rock folk rock pop rock
Godsmack,alternative metal hard rock nu metal
Thin Lizzy,hard rock blues rock heavy metal folk rock
Cheap Trick,rock hard rock power pop
The Black Crowes,southern rock
The Black Crowes,blues rock
The Black Crowes,hard rock
The Black Crowes,roots rock
The Black Crowes,jam band
Limp Bizkit,nu metal rap rock rap metal
Guns N' Roses,hard rock heavy metal
U2,rock alternative rock pop rock post punk
Alice Cooper,hard rock
Alice Cooper,shock rock
Alice Cooper,heavy metal
Warrant (American band),glam metal hard rock heavy metal
Kiss (band),hard rock heavy metal shock rock glam metal
Cinderella (band),glam metal hard rock
The Beatles,rock
The Beatles,pop
The Beatles,beat
The Beatles,psychedelia
Radiohead,art rock alternative rock electronica experimental rock
Run-DMC,hip hop
Run-DMC,rap rock
Train (band),rock alternative rock pop rock roots rock
Velvet Revolver,hard rock alternative metal
Staind,alternative metal hard rock
Mötley Crüe,heavy metal glam metal hard rock
New York Dolls,hard rock
New York Dolls,proto punk
New York Dolls,glam punk
Joan Jett,rock
Joan Jett,hard rock
Joan Jett,punk rock
Extreme (band),hard rock funk metal
Led Zeppelin,hard rock blues rock folk rock heavy metal
Nirvana (band),grunge alternative rock
Lenny Kravitz,rock funk soul
ZZ Top,blues rock
ZZ Top,hard rock
ZZ Top,boogie rock
ZZ Top,southern rock
Papa Roach,alternative rock nu metal rap metal
Tesla (band),hard rock
Tesla (band),blues rock
Tesla (band),glam metal
Boston (band),hard rock arena rock
Roxy Music,art rock
Roxy Music,glam rock
Roxy Music,pop rock
Roxy Music,sophisti pop
David Bowie,art rock glam rock pop electronic
Sex Pistols,punk rock
Duran Duran,pop rock synth pop new wave dance rock
Elton John,pop rock glam rock soft rock blues
The Rolling Stones,rock pop blues
Pink Floyd,progressive rock art rock psychedelic rock space rock experimental rock
Bryan Ferry,pop rock
Bryan Ferry,glam rock
Bryan Ferry,art rock
Bryan Ferry,sophisti pop
Elvis Presley,rock and roll pop rockabilly country gospel r and b soul blues
The Velvet Underground,art rock
The Velvet Underground,experimental rock
Franz Ferdinand (band),indie rock post punk revival art rock art punk
John Lennon,rock
John Lennon,pop
John Lennon,experimental
Echo & the Bunnymen,post punk
Echo & the Bunnymen,new wave
Echo & the Bunnymen,neo psychedelia
Talking Heads,new wave post punk avant funk art pop worldbeat
Bob Dylan,folk blues rock gospel country traditional pop
Eddie Cochran,rock and roll rockabilly country rhythm and blues
Simple Minds,post punk
Simple Minds,art rock
Simple Minds,arena rock
Simple Minds,synth pop
Depeche Mode,synth pop
Depeche Mode,electronic rock
Depeche Mode,new wave
Depeche Mode,alternative rock
Fun (band),indie pop indie rock pop rock
Paramore,pop punk emo pop rock power pop
Queen (band),rock pop
Panic! at the Disco,pop rock baroque pop electropop emo pop punk
Awolnation,alternative rock electronic rock electropop pop rock dance rock
311 (band),alternative rock rap rock reggae rock funk rock funk metal
Midnight Oil,alternative rock
Midnight Oil,hard rock
Midnight Oil,post punk
Midnight Oil,"new wavemerline, michael .. spectrum culture."
Red Hot Chili Peppers,funk rock alternative rock rap rock
Goo Goo Dolls,alternative rock
Goo Goo Dolls,pop rock
Goo Goo Dolls,punk rock
Fall Out Boy,pop punk pop rock emo
The Cars,new wave power pop pop rock synth rock
Incubus (band),alternative rock alternative metal funk metal nu metal
Scorpions (band),hard rock heavy metal
Rise Against,melodic hardcore
Rise Against,punk rock
Twenty One Pilots,alternative rock electropop alternative hip hop pop rap pop rock
Barenaked Ladies,alternative pop folk rock pop rock comedy rock
Dave Matthews Band,rock jam rock
Beastie Boys,hip hop rap rock alternative hip hop hardcore punk
Steely Dan,jazz rock yacht rock pop jazz fusion
Genesis (band),progressive rock art rock pop rock soft rock
Rush (band),progressive rock hard rock
Gin Blossoms,alternative rock jangle pop power pop country rock
Peter Gabriel,progressive rock
Peter Gabriel,art rock
Peter Gabriel,worldbeat
Peter Gabriel,progressive soul
Bryan Adams,rock
Bryan Adams,pop rock
Bryan Adams,soft rock
Bryan Adams,arena rock
Bryan Adams,heartland rock
Supertramp,progressive pop
Supertramp,progressive rock
Supertramp,soft rock
Supertramp,pop
The Mamas & the Papas,folk rock sunshine pop
The Beach Boys,rock pop surf psychedelia
Kenny Loggins,rock
Kenny Loggins,pop
Kenny Loggins,folk rock
Kenny Loggins,r and b
Kenny Loggins,soul
Kenny Loggins,soft rock
Kenny Loggins,rip it up
Kenny Loggins,allmusic
Foster the People,indie pop synth pop dance pop alternative rock indie rock
Florence and the Machine,indie rock
Florence and the Machine,indie pop
Florence and the Machine,chamber pop
Florence and the Machine,baroque pop
Florence and the Machine,art pop
Florence and the Machine,art rock
Florence and the Machine,neo soul
Florence and the Machine,folk
Fuel (band),alternative rock hard rock post grunge alternative metal
Everclear (band),alternative rock power pop pop rock punk rock
Puddle of Mudd,post grunge hard rock alternative rock
Saliva (band),nu metal post grunge alternative metal rap metal hard rock
Volbeat,heavy metal hard rock rockabilly psychobilly
Filter (band),industrial rock post grunge alternative rock industrial metal alternative metal
Shinedown,hard rock alternative metal alternative rock
Bullet for My Valentine,melodic metalcore thrash metal hard rock
Korn,nu metal alternative metal
Trivium (band),metalcore thrash metal heavy metal progressive metal
Seether,post grunge hard rock alternative rock nu metal
Lacuna Coil,gothic metal alternative metal
Iron Maiden,heavy metal
Judas Priest,heavy metal
