[2025-11-30 14:21:48,396] INFO: Logging system initialized
[2025-11-30 14:22:04,342] INFO: Extracted 4007 unique repositories from graph
[2025-11-30 14:22:04,343] INFO: Need to process 4007 repositories
[2025-11-30 14:22:04,344] INFO: Processing 1/4007: 0xVK/CezaurusLMS
[2025-11-30 14:22:04,344] ERROR: Unexpected error processing 0xVK/CezaurusLMS: name 'BASE' is not defined
[2025-11-30 14:22:04,344] INFO: Processing 2/4007: 0xVK/DiplomaCreator
[2025-11-30 14:22:04,344] ERROR: Unexpected error processing 0xVK/DiplomaCreator: name 'BASE' is not defined
[2025-11-30 14:22:04,345] INFO: Processing 3/4007: 0xVK/Double-snake
[2025-11-30 14:22:04,346] ERROR: Unexpected error processing 0xVK/Double-snake: name 'BASE' is not defined
[2025-11-30 14:22:04,346] INFO: Processing 4/4007: 0xVK/EST_PyWrapper
[2025-11-30 14:22:04,346] ERROR: Unexpected error processing 0xVK/EST_PyWrapper: name 'BASE' is not defined
[2025-11-30 14:22:04,347] INFO: Processing 5/4007: 0xVK/Estimator
[2025-11-30 14:22:04,347] ERROR: Unexpected error processing 0xVK/Estimator: name 'BASE' is not defined
[2025-11-30 14:22:04,348] INFO: Processing 6/4007: 0xVK/ExtMandarinChat-Client
[2025-11-30 14:22:04,348] ERROR: Unexpected error processing 0xVK/ExtMandarinChat-Client: name 'BASE' is not defined
[2025-11-30 14:22:04,348] INFO: Processing 7/4007: 0xVK/ExtMandarinChat-Server
[2025-11-30 14:22:04,349] ERROR: Unexpected error processing 0xVK/ExtMandarinChat-Server: name 'BASE' is not defined
[2025-11-30 14:22:04,349] INFO: Processing 8/4007: 0xVK/KuWiPic
[2025-11-30 14:22:04,350] ERROR: Unexpected error processing 0xVK/KuWiPic: name 'BASE' is not defined
[2025-11-30 14:22:04,350] INFO: Processing 9/4007: 0xVK/Number2TextUA
[2025-11-30 14:22:04,350] ERROR: Unexpected error processing 0xVK/Number2TextUA: name 'BASE' is not defined
[2025-11-30 14:22:04,351] INFO: Processing 10/4007: 0xVK/SmartySBot-Teachers
[2025-11-30 14:22:04,351] ERROR: Unexpected error processing 0xVK/SmartySBot-Teachers: name 'BASE' is not defined
[2025-11-30 14:22:04,352] INFO: Processing 11/4007: 0xVK/Viddil-BD-Bot
[2025-11-30 14:22:04,352] ERROR: Unexpected error processing 0xVK/Viddil-BD-Bot: name 'BASE' is not defined
